action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,12675514,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(NCC1CCCCC1)Nc1ccc(Oc2ncnc3[nH]ncc23)cc1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332864,,CHEMBL2332864,,0,http://www.openphacts.org/units/Nanomolar,1866673,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675515,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)NC1CCCCC1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332863,,CHEMBL2332863,,0,http://www.openphacts.org/units/Nanomolar,1866672,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675516,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,CC(NC(=O)Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)c1ccccc1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332862,,CHEMBL2332862,,0,http://www.openphacts.org/units/Nanomolar,1866671,>,1,1,>,,IC50,nM,,98200.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,98.2
,,12675517,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1cccnc1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332861,,CHEMBL2332861,,0,http://www.openphacts.org/units/Nanomolar,1866670,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675518,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccccc1)Nc1ccc(Oc2ncnc3[nH]ncc23)cc1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '13.55', 'le': '0.25', 'lle': '0.90', 'sei': '4.48'}",CHEMBL2332860,,CHEMBL2332860,4.69,0,http://www.openphacts.org/units/Nanomolar,1866669,=,1,1,=,,IC50,nM,,20230.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,20.23
,,12675519,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1ccc(Br)cc1)Nc1ccc(Oc2ncnc3[nH]ncc23)cc1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '9.73', 'le': '0.21', 'lle': '0.04', 'sei': '4.45'}",CHEMBL2332859,,CHEMBL2332859,4.13,0,http://www.openphacts.org/units/Nanomolar,1866668,=,1,1,=,,IC50,nM,,74700.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,74.7
,,12675520,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)c1ccc(Br)cc1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '10.06', 'le': '0.22', 'lle': '-0.03', 'sei': '4.45'}",CHEMBL2332858,,CHEMBL2332858,4.13,0,http://www.openphacts.org/units/Nanomolar,1866667,=,1,1,=,,IC50,nM,,74700.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,74.7
,,12675521,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cccc(Oc2ncnc3[nH]ncc23)c1)c1ccc(Br)cc1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332857,,CHEMBL2332857,,0,http://www.openphacts.org/units/Nanomolar,1866666,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675522,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1cccc(Oc2ncnc3[nH]ncc23)c1)c1ccc(C(F)(F)F)cc1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332856,,CHEMBL2332856,,0,http://www.openphacts.org/units/Nanomolar,1866665,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675523,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1ccc(Br)cc1)Nc1cccc(Oc2ncnc3[nH]ncc23)c1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332855,,CHEMBL2332855,,0,http://www.openphacts.org/units/Nanomolar,1866664,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675524,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1ccc(C(F)(F)F)cc1)Nc1cccc(Oc2ncnc3[nH]ncc23)c1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332854,,CHEMBL2332854,,0,http://www.openphacts.org/units/Nanomolar,1866663,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675525,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Br)cc1)Nc1cccc(Oc2ncnc3[nH]ncc23)c1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332853,,CHEMBL2332853,,0,http://www.openphacts.org/units/Nanomolar,1866662,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675526,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(C(F)(F)F)cc1)Nc1cccc(Oc2ncnc3[nH]ncc23)c1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332852,,CHEMBL2332852,,0,http://www.openphacts.org/units/Nanomolar,1866661,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675527,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1ncc2c(Oc3ccc(NC(=O)Nc4ccc(C(F)(F)F)cc4)cc3)ncnc21,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332851,,CHEMBL2332851,,0,http://www.openphacts.org/units/Nanomolar,1866660,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675528,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(NC(=O)Nc2ccc(Oc3ncnc4c3cnn4C)cc2)c1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332850,,CHEMBL2332850,,0,http://www.openphacts.org/units/Nanomolar,1866659,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675529,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Oc2ncnc3[nH]ncc23)cc1)Nc1ccc(C(F)(F)F)cc1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '14.29', 'le': '0.27', 'lle': '1.11', 'sei': '5.65'}",CHEMBL2332849,,CHEMBL2332849,5.92,0,http://www.openphacts.org/units/Nanomolar,1866658,=,1,1,=,,IC50,nM,,1200.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,1.2
,,12675530,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(NC(=O)Nc2ccc(Oc3ncnc4[nH]ncc34)cc2)c1C,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '10.70', 'le': '0.20', 'lle': '-0.40', 'sei': '3.82'}",CHEMBL2332848,,CHEMBL2332848,4.00,0,http://www.openphacts.org/units/Nanomolar,1866657,=,1,1,=,,IC50,nM,,98800.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,98.8
,,12675531,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Br)cc1)Nc1ccc(Oc2ncnc3[nH]ncc23)cc1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '9.70', 'le': '0.21', 'lle': '-0.42', 'sei': '3.94'}",CHEMBL2332847,,CHEMBL2332847,4.13,0,http://www.openphacts.org/units/Nanomolar,1866656,=,1,1,=,,IC50,nM,,74700.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,74.7
,,12675532,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(NC(=O)Nc2ccc(Oc3ncnc4[nH]ncc34)cc2)c1,,,CHEMBL2331331,J Med Chem,2013,"{'bei': '10.86', 'le': '0.20', 'lle': '0.29', 'sei': '3.58'}",CHEMBL2332846,,CHEMBL2332846,4.09,0,http://www.openphacts.org/units/Nanomolar,1866655,=,1,1,=,,IC50,nM,,82000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,82.0
,,12675533,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,CC(NC(=O)Nc1ccc(Nc2ncnc3[nH]ncc23)cc1)c1ccccc1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332845,,CHEMBL2332845,,0,http://www.openphacts.org/units/Nanomolar,1866654,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675534,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Nc2ncnc3[nH]ncc23)cc1)Nc1ccc(C(F)(F)F)cc1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332844,,CHEMBL2332844,,0,http://www.openphacts.org/units/Nanomolar,1866653,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675535,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(NC(=O)Nc2ccc(Nc3ncnc4[nH]ncc34)cc2)c1C,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332843,,CHEMBL2332843,,0,http://www.openphacts.org/units/Nanomolar,1866652,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675536,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Br)cc1)Nc1ccc(Nc2ncnc3[nH]ncc23)cc1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332842,,CHEMBL2332842,,0,http://www.openphacts.org/units/Nanomolar,1866651,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,12675537,[],CHEMBL2344826,Inhibition of VEGFR2 in transgenic zebrafish embryo assessed as inhibition of intersegmental vessels formation measured 33 hrs post fertilization by fluorescence microscopic analysis,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(NC(=O)Nc2ccc(Nc3ncnc4[nH]ncc34)cc2)c1,,,CHEMBL2331331,J Med Chem,2013,,CHEMBL2332841,,CHEMBL2332841,,0,http://www.openphacts.org/units/Nanomolar,1866650,>,1,1,>,,IC50,nM,,100000.0,CHEMBL2331049,Danio rerio,Vascular endothelial growth factor receptor 2,7955,,,IC50,uM,UO_0000065,,100.0
,,110161,[],CHEMBL673896,Inhibition of VEGF-stimulated mitogenesis in human umbilical vein endothelial cells,F,,,BAO_0000190,BAO_0000219,cell-based format,c1cc(-c2cnc3c(-c4ccsc4)cnn3c2)ccn1,,,CHEMBL1135353,Bioorg Med Chem Lett,2002,,CHEMBL92516,,CHEMBL92516,6.90,0,http://www.openphacts.org/units/Nanomolar,172383,=,1,1,=,,IC50,nM,,127.0,CHEMBL2095227,Homo sapiens,Vascular endothelial growth factor receptor,9606,,,IC50,nM,UO_0000065,,127.0
,,114350,[],CHEMBL673896,Inhibition of VEGF-stimulated mitogenesis in human umbilical vein endothelial cells,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1,,,CHEMBL1135353,Bioorg Med Chem Lett,2002,,CHEMBL329350,,CHEMBL329350,6.82,0,http://www.openphacts.org/units/Nanomolar,172390,=,1,1,=,,IC50,nM,,150.0,CHEMBL2095227,Homo sapiens,Vascular endothelial growth factor receptor,9606,,,IC50,nM,UO_0000065,,150.0
,,139360,[],CHEMBL673896,Inhibition of VEGF-stimulated mitogenesis in human umbilical vein endothelial cells,F,,,BAO_0000190,BAO_0000219,cell-based format,c1cc(-c2cnc3c(-c4ccncc4)cnn3c2)ccn1,,,CHEMBL1135353,Bioorg Med Chem Lett,2002,,CHEMBL92279,,CHEMBL92279,6.21,0,http://www.openphacts.org/units/Nanomolar,172378,=,1,1,=,,IC50,nM,,622.0,CHEMBL2095227,Homo sapiens,Vascular endothelial growth factor receptor,9606,,,IC50,nM,UO_0000065,,622.0
,,141626,[],CHEMBL673896,Inhibition of VEGF-stimulated mitogenesis in human umbilical vein endothelial cells,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,,,CHEMBL1135353,Bioorg Med Chem Lett,2002,,CHEMBL92461,,CHEMBL92461,6.41,0,http://www.openphacts.org/units/Nanomolar,172382,=,1,1,=,,IC50,nM,,387.0,CHEMBL2095227,Homo sapiens,Vascular endothelial growth factor receptor,9606,,,IC50,nM,UO_0000065,,387.0
,,307860,[],CHEMBL691874,Inhibition of human endothelial cell growth stimulate by vascular endothelial growth factor,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCNCC1.Cl,,,CHEMBL1135889,J Med Chem,2002,,CHEMBL2448064,,CHEMBL26456,7.22,0,http://www.openphacts.org/units/Nanomolar,35681,=,1,1,=,,IC50,nM,,60.0,CHEMBL2095227,Homo sapiens,Vascular endothelial growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.06
,,309318,[],CHEMBL691874,Inhibition of human endothelial cell growth stimulate by vascular endothelial growth factor,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c1ccncc1,,,CHEMBL1135889,J Med Chem,2002,,CHEMBL25579,,CHEMBL25579,6.70,0,http://www.openphacts.org/units/Nanomolar,35668,=,1,1,=,,IC50,nM,,200.0,CHEMBL2095227,Homo sapiens,Vascular endothelial growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.2
,,309327,[],CHEMBL691874,Inhibition of human endothelial cell growth stimulate by vascular endothelial growth factor,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OC/C=C/CN1CCCC1,,,CHEMBL1135889,J Med Chem,2002,,CHEMBL24026,,CHEMBL24026,6.30,0,http://www.openphacts.org/units/Nanomolar,35661,=,1,1,=,,IC50,nM,,500.0,CHEMBL2095227,Homo sapiens,Vascular endothelial growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.5
